seed,K,m,n,size,alpha,beta,dd_face1_time,dd_face1_status,dd_face2_time,dd_face2_status,hybrid_time,hybrid_status,objective,G,price_term,fairness_term1,fairness_term2
0,8,5,20,big,0.25,0.25,50.00729489326477,time_limit,10.003156900405884,time_limit,0.009835004806518555,optimal,0.003232540555319871,0.051287547469144865,0.3434257315109143,0.05718407774395248,0.026968251175605085
0,8,5,20,big,0.5,0.0,50.00873112678528,time_limit,10.010277032852173,time_limit,0.007822036743164062,optimal,0.0004732608372009573,0.06003511143665587,0.1349372165557429,0.016998600839208334,0.051163425503967686
0,8,5,20,big,0.0,0.5,50.01495313644409,time_limit,10.003193855285645,time_limit,0.008781194686889648,optimal,0.007021214165392696,0.07318878707725507,0.5245670678369263,0.24088930988661833,0.01684926994958147
0,8,10,5,small,0.0,0.0,12.149424076080322,optimal,0.6398370265960693,optimal,0.0011529922485351562,optimal,0.08313335416679019,0.31217800574485277,0.6447222431667383,0.3772982532013866,0.1360712754613318
0,8,10,5,small,0.25,0.25,39.66715884208679,optimal,0.7381689548492432,optimal,0.0021810531616210938,optimal,0.04712594164645061,0.2179779607054298,0.6542812861412814,0.3509969282533064,0.0432470874455102
0,8,10,5,small,0.5,0.0,35.621593952178955,optimal,1.0837299823760986,optimal,0.0016639232635498047,optimal,0.05011118524964171,0.26547725335613703,0.647083603318611,0.3630860235539111,0.09067477974817595
0,8,10,5,small,0.0,0.5,11.27059006690979,optimal,0.5974609851837158,optimal,0.002012014389038086,optimal,0.04362449081264246,0.2062867981977406,0.6567719079253125,0.3491329773012006,0.031290794450028026
0,8,10,10,big,0.0,0.0,50.0096480846405,time_limit,0.7445700168609619,optimal,0.0023767948150634766,optimal,0.04958186625669264,0.20851909689676046,0.7041439217709163,0.08484806777981792,0.12749869624719157
0,8,10,10,big,0.25,0.25,50.0082790851593,time_limit,1.0268199443817139,optimal,0.003834962844848633,optimal,0.02588654398718116,0.1049443019748444,0.716072316655037,0.022893282313405934,0.03047541002016496
0,8,10,10,big,0.5,0.0,50.0127010345459,time_limit,2.478792905807495,optimal,0.0032148361206054688,optimal,0.02523923462737854,0.20439321297611424,0.7041667871428461,0.08454030249528341,0.1234089964499192
0,8,10,10,big,0.0,0.5,50.00686287879944,time_limit,1.6809048652648926,optimal,0.0028700828552246094,optimal,0.008186175301424323,0.06676472438785011,0.398687074962412,0.040406632985011806,0.021845187768482432
0,8,10,20,big,0.0,0.0,50.01050400733948,time_limit,10.010071039199829,time_limit,0.0075299739837646484,optimal,0.02679722728484765,0.1699494724462156,0.7320823353263982,0.36663004344206035,0.08751660024963814
0,8,10,20,big,0.25,0.25,50.01128697395325,time_limit,10.004508018493652,time_limit,0.009808063507080078,optimal,0.01405935409342703,0.07007839551537834,0.6964014407233518,0.24855375460356288,0.004189104153765388
